Id	target_eval
251	1
252	0
253	1
254	1
255	1
256	1
257	1
258	0
259	1
260	0
261	1
262	1
263	0
264	1
265	0
266	0
267	0
268	1
269	0
270	1
271	0
272	1
273	0
274	0
275	0
276	0
277	1
278	0
279	1
280	0
281	0
282	0
283	1
284	0
285	1
286	1
287	1
288	0
289	0
290	1
291	0
292	0
293	1
294	0
295	0
296	1
297	1
298	0
299	1
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	0
309	0
310	1
311	0
312	1
313	0
314	1
315	1
316	0
317	1
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	1
326	1
327	0
328	0
329	0
330	0
331	0
332	0
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	0
343	0
344	0
345	1
346	0
347	1
348	1
349	1
350	1
351	0
352	1
353	0
354	0
355	1
356	0
357	1
358	0
359	0
360	1
361	1
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	0
371	0
372	1
373	1
374	0
375	1
376	1
377	0
378	0
379	1
380	0
381	1
382	0
383	0
384	1
385	0
386	0
387	1
388	1
389	1
390	0
391	1
392	1
393	1
394	1
395	0
396	1
397	1
398	0
399	1
400	1
401	0
402	1
403	0
404	0
405	0
406	1
407	0
408	0
409	0
410	1
411	1
412	1
413	0
414	0
415	1
416	0
417	0
418	1
419	0
420	1
421	0
422	1
423	1
424	1
425	1
426	1
427	1
428	1
429	0
430	0
431	1
432	0
433	1
434	0
435	1
436	0
437	0
438	0
439	1
440	1
441	0
442	1
443	0
444	0
445	0
446	0
447	0
448	1
449	1
450	1
451	1
452	1
453	1
454	0
455	0
456	1
457	0
458	1
459	0
460	1
461	0
462	0
463	0
464	1
465	0
466	1
467	0
468	1
469	0
470	0
471	0
472	0
473	0
474	1
475	0
476	1
477	1
478	1
479	0
480	1
481	0
482	1
483	0
484	1
485	1
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	1
494	0
495	1
496	0
497	1
498	0
499	1
500	0
501	0
502	0
503	0
504	0
505	1
506	0
507	0
508	1
509	1
510	0
511	1
512	0
513	0
514	1
515	1
516	1
517	0
518	1
519	0
